Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 277] 0x3b9fa640: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3b9fa660, d1ruAl) 'RIL buffer'
[ 276] 0x3ba0a680: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x3ba0a6a0, d0rual) 'pcmdec_tmp'
0x3ba1a6c0: free 32
[ 236] 0x3ba1a6e0: used  416 (refcount 1 lock count 0, size      340, align    4, data 0x3ba1a700, d0rual) 'resample context'
[  71] 0x3ba1a880: used   96 (refcount 1 lock count 0, size       12, align    4, data 0x3ba1a8a0, d0rual) 'resample coeff table'
[  69] 0x3ba1a8e0: used  416 (refcount 1 lock count 0, size      340, align    4, data 0x3ba1a900, d0rual) 'resample context'
[ 201] 0x3ba1aa80: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x3ba1aaa0, d0ruAl) 'audio_mixer_tmp_dr'
[ 298] 0x3ba1cac0: used  128 (refcount 1 lock count 0, size       48, align   32, data 0x3ba1cae0, d0ruAl) 'RIL buffer'
[ 297] 0x3ba1cb40: used  128 (refcount 1 lock count 0, size       48, align   32, data 0x3ba1cb60, d0ruAl) 'RIL buffer'
[ 296] 0x3ba1cbc0: used  128 (refcount 1 lock count 0, size       48, align   32, data 0x3ba1cbe0, d0ruAl) 'RIL buffer'
[ 295] 0x3ba1cc40: used   64 (refcount 1 lock count 0, size        0, align   32, data 0x3ba1cc60, d0ruAl) 'ADec:inputdata'
[ 271] 0x3ba1cc80: used 151K (refcount 1 lock count 0, size   154304, align   32, data 0x3ba1cca0, d0Rual) 'Vdec3 Msgbuf'
[ 270] 0x3ba42780: used 1.0M (refcount 1 lock count 0, size  1048576, align  256, data 0x3ba42800, d3Rual) 'Vdec3 CDB'
[ 267] 0x3bb428a0: used 1.3M (refcount 1 lock count 0, size  1308832, align 4096, data 0x3bb43000, d1ruaL) 'video_decodeRIL:image pool'
[ 266] 0x3bc83160: used 1.3M (refcount 1 lock count 1, size  1308832, align 4096, data 0x3bc84000, d1ruaL) 'video_decodeRIL:image pool'
